file,text
person_1_चामल एक किलो थप - Clear.wav,चामल एक किलो थपः
person_4_tel kati baki cha - far.wav,देन कती बागी छाओ
person_6_1c.wav,चामल 1 किलो बेटा
person_1_दाल एक किलो बेच - Noise.wav,दाल एक किलो देज़ाब।
person_8_chamal3.wav,चामल 1 किलो बेच
person_7_22y.wav,दाल एक किलो बेचा
person_3_13.1.wav,जीनी गाती बागी था
person_2_13.1.wav,चीनी कती बाकी छा?
person_1_नुन कति बाँकी छ - Mic_s far away.wav,नून कति बाकी छौ?
person_3_11.3.wav,चेन एक लिटार बेचा
person_2_11.3.wav,तेल एक लिटर बेचा।
person_2_11.2.wav,एक लिटर तेल बेचाद।
"person_8_tel4,.wav",तेल एक किलो गठाउँ
person_3_11.2.wav,तेल एक लिटा रभेचा
person_1_चीनी एक किलो घटाउ - Mic_s far away.wav,सीनी एक किलो गठाऊ।
person_7_55z.wav,नुन एक किलो गटाओ
person_7_22x.wav,दाल एक किलो थापा
person_8_chamal2.wav,समाले किलो थरब
person_1_चीनी एक किलो बेच - Clear.wav,सीनी एक किलो बेटर
person_4_chamal Kati baki cha - far.wav,चामल कती बाकी छौ।
person_4_nun tjapa- noise.wav,नुन एक किलो धबा
person_6_1b.wav,चामल एक किलो थपा
person_2_9.1.wav,तेल कति बाकी छ?
person_1_तेल कति बाँकी छ - Mic_s far away.wav,तेल कति बाकि छौ?
person_8_chamel4.wav,चामल एक किलो घटाऊ।
person_2_9.3.wav,तेल कति बाकी छ।
person_1_नुन एक किलो थप - Mic_s far away.wav,नून एक किलो थपा
person_4_tel ghatau.wav,एक लिटर घटाऊँ
person_8_tel4.wav,तेल एक किलो गटाओ
person_4_chamal ghatau - noise.wav,चानल एक किलो पर डाउल
person_2_13.2.wav,चीनी कति बागी छ?
person_7_55x.wav,नून एक किलो धाबा
person_3_13.2.wav,चिनी कती बाकी छ
person_2_2.wav,"एक किलो चामल थपप,"
person_7_22z.wav,दाल एक किलो कटाओ
person_1_नुन एक किलो बेच - Noise.wav,नून एक किलो बेचा
person_7_5w.wav,उनकती बाकी सा
person_4_tel thapa - far.wav,पिल एक लिटर धबा
person_3_11.1.wav,तेल एक लिटार बेसा
person_1_चीनी एक किलो घटाउ - Noise.wav,सिर्णि एक किलो गटाउ
person_2_11.1.wav,"एक लिटर तेल बेचा,"
"person_8_chini3,.wav",जिन्निया किलो बैच
person_3_13.3.wav,चिनी काती बाके छौ।
person_2_13.3.wav,चीडी कति बाकि छौ।
person_7_55y.wav,नून एक किलो बेचा
person_8_chamal1.wav,सामल कति बाखी छ।
person_6_1a.wav,चामल कत्ति बागी सा
person_1_चामल कति बाँकी छ - Mic_s far away.wav,सामल कति बांकी छौ?
person_2_9.2.wav,तेल कति बाकिसा?
person_4_chamal ek kilo becha - far.wav,चामल एक किलो बेजा।
person_1_दाल एक किलो घटाउ - Mic_s far away.wav,दाल एक किलो बटाउट
