file,text
"13 Feb, 22.33​(2)_849.wav",चुरा पाँच किलो धबब
"13 Feb, 22.33​(3)_755.wav",प्रिज्जियोडा पाइच किलो बेचे
"13 Feb, 22.33​(4)_655.wav",चिव्रा पाज्च किलो गटाओ
"13 Feb, 22.33​_877.wav",चिव्रा कति बागी छा?
"13 Feb, 22.34​(10)_195.wav",बेशार 25 किलो धापा
"13 Feb, 22.34​(2)_430.wav",मैदा दस किलो धापा
"13 Feb, 22.34​(3)_263.wav",मैदा दस किलो बेचे
"13 Feb, 22.34​(4)_141.wav",मैडा 10 किलो कटाओ
"13 Feb, 22.34​(5)_83.wav",अण्डा क्या बागी छा?
"13 Feb, 22.34​(6)_839.wav",फन्डा 15 वटा थपा
"13 Feb, 22.34​(7)_766.wav",अन्डा पन्द्र वटा बेजी
"13 Feb, 22.34​(8)_199.wav",अण्डा पन्द्रो वटा गटाओ
"13 Feb, 22.34​(9)_28.wav",बेसार कति बागी छा?
"13 Feb, 22.34​_561.wav",मैडा कति बाकी छा?
"13 Feb, 22.35​(2)_245.wav",पेसार 25 किलो कटाउ
"13 Feb, 22.35​(3)_441.wav",बिस्कुर कोटि बाईगी छा।
"13 Feb, 22.35​(4)_67.wav",बिसकुड बिस पैकेट थापा
"13 Feb, 22.35​(5)_148.wav",बिसकुट 20 पैकेट बेचें
"13 Feb, 22.35​(6)_777.wav",बिस्कुड बीस्पैकेट को ढाओ
"13 Feb, 22.35​_580.wav",बेशार पच्चिस किलो बेचे
"13 Feb, 22.36​(10)_481.wav",उड्डा पन्द्रोडा धबो
"13 Feb, 22.36​(11)_658.wav",पंड़ा पन्रोड़ा बेचे
"13 Feb, 22.36​(2)_51.wav",छिवरा पाँच किलो धाबा
"13 Feb, 22.36​(3)_157.wav",छुरा पाँच गिलो बेजे
"13 Feb, 22.36​(4)_235.wav",सूरा पाँच किलो कटाओ
"13 Feb, 22.36​(5)_460.wav",महिता कति बाइकी था
"13 Feb, 22.36​(6)_511.wav",मैदा दस किलो थापा
"13 Feb, 22.36​(7)_631.wav",मैदा दास किल्यो बेचे
"13 Feb, 22.36​(8)_295.wav",मैडा दस किलो कटा हुए
"13 Feb, 22.36​(9)_378.wav",अण्डा कति बागी छा?
"13 Feb, 22.36​_294.wav",छिवरा कति बाइकी छा?
"13 Feb, 22.37​(2)_117.wav",बेसार कति बागी स्यो?
"13 Feb, 22.37​(3)_113.wav",बिसार पचिस किलो धाबा
"13 Feb, 22.37​(4)_398.wav",बेसार पच्चिस किलो बेजें
"13 Feb, 22.37​(5)_281.wav",बेशार 25 किलो गटाओ
"13 Feb, 22.37​(6)_675.wav",पिस्कुट करती बागी चाहें
"13 Feb, 22.37​(7)_467.wav",बिसकुड बिस पैकेट था पा?
"13 Feb, 22.37​(8)_340.wav",बिस्कुड बिस्पैकेट बेचे
"13 Feb, 22.37​(9)_330.wav",बिस्कुड बीस्पैकेट को टाओ
"13 Feb, 22.37​_389.wav",अण्डा पंद्रो उटा गटा हुँ?
"13 Feb, 22.38​(2)_554.wav",छिवरा पाज्छिकिलो धबा
"13 Feb, 22.38​(3)_588.wav",चिउरा पाँछ किलो बेजें
"13 Feb, 22.38​_506.wav",चिव्रा कति बाकी छाँ?
"13 Feb, 22.39​(10)_233.wav",बेसार कति बाईकी छव?
"13 Feb, 22.39​(2)_599.wav",मैदा कति बाईकी छा?
"13 Feb, 22.39​(3)_538.wav",मैदा दस किलो थपा
"13 Feb, 22.39​(4)_904.wav",मही दाई दस किलो बेजे
"13 Feb, 22.39​(5)_703.wav",मैदा 10 किलो का डाउ
"13 Feb, 22.39​(6)_202.wav",अन्दा कति बागी सा?
"13 Feb, 22.39​(7)_23.wav",अंडा पन्द्रोवत्रा धबा
"13 Feb, 22.39​(8)_844.wav",अण्डा पन्द्रो ओटा बेचि
"13 Feb, 22.39​(9)_759.wav",अण्डा पन्द्रो ओटा गटाऊ
